,name,rating,reviews,cinfo
2393,Chambal Fertilisers And Chemicals,4,282,Agro Chemicals | 1k-5k Employees | Public | 38 years old | Kota +42 more
2394,Win Medicare,4.1,281,Pharma | 501-1k Employees | 18 years old | Delhi/NCR +50 more
2395,2COMS,3.5,281,Recruitment | 10k-50k Employees | 24 years old | Kolkata +38 more
2396,Stryker,4.2,281,Medical Equipment | 1k-5k Employees | Public | 82 years old | Kalamazoo +14 more
2397,CodeClouds,4.5,281,Software Product | 201-500 Employees | 14 years old | Pipitea +4 more
2398,Resurgent India,4.7,281,Investment Banking / Venture Capital / Private Equity | 201-500 Employees | 18 years old | Gurgaon +10 more
2399,Acko General Insurance,3.9,281,Insurance | 1k-5k Employees | Indian Unicorn | 7 years old | Bengaluru/Bangalore +7 more
2400,Stryker,4.2,281,Medical Equipment | 1k-5k Employees | Public | 82 years old | Kalamazoo +14 more
2401,Resurgent India,4.7,281,Investment Banking / Venture Capital / Private Equity | 201-500 Employees | 18 years old | Gurgaon +10 more
2402,Epiroc,3.9,280,Industrial Machinery | 1k-5k Employees | Public | 150 years old | Stockholm +21 more
2403,Indian Immunologicals,4,280,Biotechnology | 1k-5k Employees | Public | 41 years old | Hyderabad/Secunderabad +23 more
2404,SMEC,4.1,280,Real Estate | 501-1k Employees | 53 years old | North Sydney +55 more
2405,Indorama,3.9,280,Fashion & Textile | 51-200 Employees | Forbes Global 2000 | 48 years old | Jakarta +28 more
2406,LearningMate Solutions,3.8,280,EdTech | 1k-5k Employees | 22 years old | Mumbai +3 more
2407,Escon Elevators,3.5,280,Industrial Machinery | 51-200 Employees | 33 years old | Navi Mumbai +13 more
2408,Webskitters,4.5,280,IT Services & Consulting | 501-1k Employees | 13 years old | Kolkata +3 more
2409,Chaitanya India Fin Credit,4,280,Financial Services | 5k-10k Employees | 14 years old | Bangalore +104 more
2410,OnePlus,4.1,279,Consumer Electronics & Appliances | 1k-5k Employees | Public | 10 years old | Shenzhen +48 more
2411,Mothers Recipe,4.2,279,Food Processing | 501-1k Employees | 122 years old | Pune +53 more
2412,Johnson Matthey,4,279,501-1k Employees | Forbes Global 2000 | 206 years old | London +15 more
2413,Western Refrigeration,4,279,Industrial Machinery | 501-1k Employees | 51 years old | Mumbai +30 more
2414,GGS Information Services,3.7,279,IT Services & Consulting | 501-1k Employees | 35 years old | York +8 more
2415,Henkel Adhesives Technologies,4.2,279,Chemicals | 501-1k Employees | 33 years old | Düsseldorf +20 more
2416,Kuehne + Nagel,4,279,Logistics | 501-1k Employees | 133 years old | Schindellegi +25 more
2417,Deluxe Entertainment,3.4,279,Media & Entertainment | 1k-5k Employees | 108 years old | Hollywood +9 more
2418,Tribhovandas Bhimji Zaveri,4.1,279,Metals & Mining | 1k-5k Employees | Public | 159 years old | Mumbai +34 more
2419,S2 Infotech,3.2,279,Recruitment | 201-500 Employees | Public | 18 years old | Mumbai +48 more
2420,Laxmi Organic Industries,4,279,Chemicals | 201-500 Employees | Public | 31 years old | Mumbai +11 more
2421,Datamatics Business Solutions,3.5,278,Management Consulting | 1k-5k Employees | Public | 41 years old | Mumbai +6 more
2422,Sahyadri Hospital,4.2,278,Healthcare | 1k-5k Employees | 19 years old | Pune +6 more
2423,FCm Travel Solutions,3.6,278,1k-5k Employees | 37 years old | Brisbane +21 more
2424,MarketStar,3.3,278,Marketing & Advertising | 1k-5k Employees | 35 years old | Ogden +7 more
2425,IMS People,3.5,278,Recruitment | 1k-5k Employees | 17 years old | Ahmedabad +19 more
2426,DataMetica,4,278,IT Services & Consulting | 501-1k Employees | 10 years old | Pune +3 more
2427,SUEZ Environnement,4.1,278,Waste Management | 501-1k Employees | 26 years old | Paris +30 more
2428,Narayana e-Techno School,3.6,278,Education & Training | 501-1k Employees | 11 years old | Hyderabad +45 more
2429,Indian Space Research Organisation,4.4,277,Defence & Aerospace | 10k-50k Employees | Public | 54 years old | Bangalore/Bengaluru +19 more
2430,HUDL,3.5,277,Software Product | 501-1k Employees | 17 years old | Lincoln +11 more
2431,Kutchina,3.8,277,Consumer Electronics & Appliances | 201-500 Employees | 20 years old | Kolkata +52 more
2432,Yusen Logistics,4.1,277,Logistics | 501-1k Employees | 68 years old | Tokyo +29 more
2433,National Fertilizers,4.2,277,Agro Chemicals | 1k-5k Employees | Public | 49 years old | Noida +24 more
2434,FoodPanda,4,277,Internet | 501-1k Employees | Startup | 11 years old | Berlin +19 more
2435,Runwal Group,3.8,277,Real Estate | 201-500 Employees | 45 years old | Mumbai +7 more
2436,SkillVertex,3.8,277,EdTech | 201-500 Employees | 2 years old | Bangalore +6 more
2437,Artemis Health Institute,4.3,277,Healthcare | 1k-5k Employees | Public | 16 years old | Gurgaon/Gurugram +10 more
2438,Thales,4,276,IT Services & Consulting | 1k-5k Employees | Forbes Global 2000 | 23 years old | Noida +16 more
2439,SoftwareONE,3.9,276,IT Services & Consulting | 1k-5k Employees | 23 years old | Gurgaon/Gurugram +17 more
2440,Jeeves Consumer Services,3.8,276,Consumer Electronics & Appliances | 5k-10k Employees | 16 years old | Bangalore +49 more
2441,Sri Krishna Pharmaceuticals,4,276,Pharma | 201-500 Employees | 49 years old | Hyderabad/Secunderabad +7 more
2442,Ashapura Group Of Industries,4,276,201-500 Employees | Public | 63 years old | Mumbai +27 more
2443,Mahendra NextWealth IT,3.7,276,IT Services & Consulting | 1k-5k Employees | 14 years old | Salem +12 more
2444,NKG Infrastructure,3.7,275,Engineering & Construction | 1k-5k Employees | 34 years old | Delhi/NCR +36 more
2445,British Petroleum,3.8,275,Oil & Gas | 1k-5k Employees | Forbes Global 2000 | 114 years old | London +8 more
2446,EXEDY,3.8,275,Auto Components | 201-500 Employees | 46 years old | Keysborough +16 more
2447,Star Bazaar,4.1,275,Retail | 1k-5k Employees | 25 years old | Mumbai +26 more
2448,Continental Engines,4,275,Auto Components | 10k-50k Employees | 40 years old | New Delhi +25 more
2449,Siti Networks,4,275,Media & Entertainment | 201-500 Employees | Public | 29 years old | Noida +48 more
2450,Vasan Eye Care Hospitals,3.9,275,Healthcare | 5k-10k Employees | 21 years old | Chennai +66 more
2451,London Stock Exchange Group,4.1,275,5k-10k Employees | 325 years old | London +5 more
2452,TheMathCompany,2.7,275,Emerging Technologies | 1k-5k Employees | Startup | 7 years old | Bangalore +4 more
2453,Congruex Asia Pacific,3.5,275,Engineering & Construction | 1k-5k Employees | 7 years old | Boulder +7 more
2454,Lafarge,4.1,274,Building Material | 201-500 Employees | 190 years old | Paris +74 more
2455,Ryan,4.4,274,Accounting & Auditing | 501-1k Employees | 32 years old | Dallas +3 more
2456,VKC Group,3.8,273,Fashion & Textile | 1k-5k Employees | 39 years old | Calicut/Kozhikode +36 more
2457,Kerala State Electricity Board,4.2,273,Power | 10k-50k Employees | State | 66 years old | Trivandrum/Thiruvananthapuram +25 more
2458,Nettur Technical Training Foundation,4.1,273,Education & Training | 501-1k Employees | 60 years old | Bangalore/Bengaluru +36 more
2459,Hewlett Packard Globalsoft,4,273,Bengaluru/Bangalore +6 more
2460,SHARE Microfin,4.1,273,Financial Services | 501-1k Employees | 34 years old | Hyderabad/Secunderabad +107 more
2461,Akumentis Healthcare,3.6,273,Healthcare | 1k-5k Employees | 13 years old | Thane +41 more
